nbsylls;phrase;Types de phrases;Phrase porteuse(CN)   ;(particules) signes de ponctuation www .fr dic. co m 版 权 所 有;Traduction;Caractère(CN);Traduction du caractère;Phrase porteuse (pinyin);Phrase porteuse (SAMPA-C);Syllabe sans ton (pinyin) ;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
5;这个字读妈。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;妈;maman;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;ma;T1;mā;"ma_""_1"
5;这个字读麻。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;麻;chanvre;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;ma;T2;má;"ma_""_2"
5;这个字读马。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;马;cheval ;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;ma;T3;mǎ;"ma_""_3"
5;这个字读骂。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;骂;insulter;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;ma;T4;mà;"ma_""_4"
5;这个字念妈。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;妈;maman;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ma;T1;mā;"ma_""_1"
5;这个字念麻。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;麻;chanvre;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ma;T2;má;"ma_""_2"
5;这个字念马。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;马;cheval ;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ma;T3;mǎ;"ma_""_3"
5;这个字念骂。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;骂;insulter;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ma;T4;mà;"ma_""_4"
5;这个字读沙。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;沙;sable;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;sha;T1;shā;"s`a_""_1 "
5;这个字读啥。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;啥;quoi;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;sha;T2;shá;"s`a_""_2"
5;这个字读傻。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;傻;stupide;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;sha;T3;shǎ;"s`a_""_3"
5;这个字读霎。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;霎;moment bref;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;sha;T4;shà;"s`a_""_4"
5;这个字念沙。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;沙;sable;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;sha;T1;shā;"s`a_""_1 "
5;这个字念啥。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;啥;quoi;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;sha;T2;shá;"s`a_""_2"
5;这个字念傻。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;傻;stupide;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;sha;T3;shǎ;"s`a_""_3"
5;这个字念霎。;Phrase déclarative ;这个字念;。;Ce caractère se prononce___.;霎;moment bref;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;sha;T4;shà;"s`a_""_4"
5;这个字读逼。;Phrase déclarative ;这个字读;。;Ce caractère se prononce___.;逼;forcer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T1;bī;pi_1
