C;V;VCV;il dit VCV parfois;6
b;i;ibi;il dit ibi parfois;6
b;a;aba;il dit aba parfois;6
b;u;oubou;il dit oubou parfois;6
b;y;ubu;il dit ubu parfois;6
b;o;obo;il dit obo parfois;6
b;O ;OO;il dit OO parfois;6
b;e;ébé;il dit ébé parfois;6
b;E ;èbè;il dit èbè parfois;6
b;2;eubeu;il dit eubeu parfois;6
b;9;99;il dit 99 parfois;6
b;a~;anban;il dit anban parfois;6
b;o~;onbon;il dit onbon parfois;6
b;e~;inbin;il dit inbin parfois;6
d;i;idi;il dit idi parfois;6
d;a;ada;il dit ada parfois;6
d;u;oudou;il dit oudou parfois;6
d;y;udu;il dit udu parfois;6
d;o;odo;il dit odo parfois;6
d;O ;OO;il dit OO parfois;6
d;e;édé;il dit édé parfois;6
d;E ;èdè;il dit èdè parfois;6
d;2;eudeu;il dit eudeu parfois;6
d;9;99;il dit 99 parfois;6
d;a~;andan;il dit andan parfois;6
d;o~;ondon;il dit ondon parfois;6
d;e~;indin;il dit indin parfois;6
g;i;igi;il dit igi parfois;6
g;a;aga;il dit aga parfois;6
g;u;ougou;il dit ougou parfois;6
g;y;ugu;il dit ugu parfois;6
g;o;ogo;il dit ogo parfois;6
g;O ;OO;il dit OO parfois;6
g;e;égé;il dit égé parfois;6
g;E ;ègè;il dit ègè parfois;6
g;2;eugeu;il dit eugeu parfois;6
g;9;99;il dit 99 parfois;6
g;a~;angan;il dit angan parfois;6
g;o~;ongon;il dit ongon parfois;6
g;e~;ingin;il dit ingin parfois;6
p;i;ipi;il dit ipi parfois;6
p;a;apa;il dit apa parfois;6
p;u;oupou;il dit oupou parfois;6
p;y;upu;il dit upu parfois;6
p;o;opo;il dit opo parfois;6
p;O ;OO;il dit OO parfois;6
p;e;épé;il dit épé parfois;6
p;E ;èpè;il dit èpè parfois;6
p;2;eupeu;il dit eupeu parfois;6
p;9;99;il dit 99 parfois;6
p;a~;anpan;il dit anpan parfois;6
p;o~;onpon;il dit onpon parfois;6
p;e~;inpin;il dit inpin parfois;6
t;i;iti;il dit iti parfois;6
t;a;ata;il dit ata parfois;6
t;u;outou;il dit outou parfois;6
t;y;utu;il dit utu parfois;6
t;o;oto;il dit oto parfois;6
t;O ;OO;il dit OO parfois;6
t;e;été;il dit été parfois;6
t;E ;ètè;il dit ètè parfois;6
t;2;euteu;il dit euteu parfois;6
t;9;99;il dit 99 parfois;6
t;a~;antan;il dit antan parfois;6
t;o~;onton;il dit onton parfois;6
t;e~;intin;il dit intin parfois;6
k;i;iki;il dit iki parfois;6
k;a;aka;il dit aka parfois;6
k;u;oukou;il dit oukou parfois;6
k;y;uku;il dit uku parfois;6
k;o;oko;il dit oko parfois;6
k;O ;OO;il dit OO parfois;6
k;e;éké;il dit éké parfois;6
k;E ;èkè;il dit èkè parfois;6
k;2;eukeu;il dit eukeu parfois;6
k;9;99;il dit 99 parfois;6
k;a~;ankan;il dit ankan parfois;6
k;o~;onkon;il dit onkon parfois;6
k;e~;inkin;il dit inkin parfois;6
m;i;imi;il dit imi parfois;6
m;a;ama;il dit ama parfois;6
m;u;oumou;il dit oumou parfois;6
m;y;umu;il dit umu parfois;6
m;o;omo;il dit omo parfois;6
m;O ;OO;il dit OO parfois;6
m;e;émé;il dit émé parfois;6
m;E ;èmè;il dit èmè parfois;6
m;2;eumeu;il dit eumeu parfois;6
m;9;99;il dit 99 parfois;6
m;a~;anman;il dit anman parfois;6
m;o~;onmon;il dit onmon parfois;6
m;e~;inmin;il dit inmin parfois;6
n;i;ini;il dit ini parfois;6
n;a;ana;il dit ana parfois;6
n;u;ounou;il dit ounou parfois;6
n;y;unu;il dit unu parfois;6
n;o;ono;il dit ono parfois;6
n;O ;OO;il dit OO parfois;6
n;e;éné;il dit éné parfois;6
n;E ;ènè;il dit ènè parfois;6
n;2;euneu;il dit euneu parfois;6
n;9;99;il dit 99 parfois;6
n;a~;ennan;il dit annan parfois;6
n;o~;onnon;il dit onnon parfois;6
n;e~;innin;il dit innin parfois;6
