mot,voyelle testée api,voyelle testé sampa,voyelle harmonique api,voyelle harmonique sampa,Consonne intervocalique api,Consonne intervocalique sampa,élément phrase 1,élément phrase 2,phrase
été,e,e,e,e,t,t,Il dit,une fois,Il dit été une fois : été
éther,e,e,Ɛ,E,t,t,Il dit,une fois,Il dit éther une fois : éther
ailé,e,e,e,e,l,l,Il dit,une fois,Il dit ailé une fois : ailé
ailette,e,e,Ɛ,E,l,l,Il dit,une fois,Il dit ailette une fois : ailette
était,e,e,Ɛ,E,t,t,Il dit,une fois,Il dit était une fois : était
céder,e,e,e,e,d,d,Il dit,une fois,Il dit céder une fois : céder
cedex,e,e,Ɛ,E,d,d,Il dit,une fois,Il dit cedex une fois : cedex
épée,e,e,e,e,p,p,Il dit,une fois,Il dit épée une fois : épée
épaisse,e,e,Ɛ,E,p,p,Il dit,une fois,Il dit épaisse une fois : épaisse
léger,e,e,e,e,Ʒ,Z,Il dit,une fois,Il dit léger une fois : léger
légère,e,e,Ɛ,E,Ʒ,Z,Il dit,une fois,Il dit légère une fois : légère
mêlée,e,e,e,e,l,l,Il dit,une fois,Il dit mêlée une fois : mêlée
mélèze,e,e,Ɛ,E,l,l,Il dit,une fois,Il dit mélèze une fois : mélèze
défait,e,e,e,e,f,f,Il dit,une fois,Il dit défait une fois : défait
défaite,e,e,Ɛ,E,f,f,Il dit,une fois,Il dit défaite une fois : défaite
fléché,e,e,e,e,ʃ,S,Il dit,une fois,Il dit fléché une fois : fléché
fléchette,e,e,Ɛ,E,ʃ,S,Il dit,une fois,Il dit fléchette une fois : fléchette
mémé,e,e,e,e,m,m,Il dit,une fois,Il dit mémé une fois : mémé
mémère,e,e,Ɛ,E,m,m,Il dit,une fois,Il dit mémère une fois : mémère
pépé,e,e,e,e,p,p,Il dit,une fois,Il dit pépé une fois : pépé
pépère,e,e,Ɛ,E,p,p,Il dit,une fois,Il dit pépère une fois : pépère
réglé,e,e,e,e,g,g,Il dit,une fois,Il dit réglé une fois : réglé
réglette,e,e,Ɛ,E,g,g,Il dit,une fois,Il dit réglette une fois : réglette
télé,e,e,e,e,l,l,Il dit,une fois,Il dit télé une fois : télé
télex,e,e,Ɛ,E,l,l,Il dit,une fois,Il dit télex une fois : télex
prêteuse,e,e,Ø,2,t,t,Il dit,une fois,Il dit prêteuse une fois : prêteuse
prêteur,e,e,œ,9,t,t,Il dit,une fois,Il dit prêteur une fois : prêteur
gêneuse,e,e,Ø,2,n,n,Il dit,une fois,Il dit gêneuse une fois : gêneuse
gêneur,e,e,œ,9,n,n,Il dit,une fois,Il dit gêneur une fois : gêneur
payeuse,e,e,Ø,2,j,j,Il dit,une fois,Il dit payeuse une fois : payeuse
payeur,e,e,œ,9,j,j,Il dit,une fois,Il dit payeur une fois : payeur
prêcheuse,e,e,Ø,2,ʃ,S,Il dit,une fois,Il dit prêcheuse une fois : prêcheuse
prêcheur,e,e,œ,9,ʃ,S,Il dit,une fois,Il dit prêcheur une fois : prêcheur
rêveuse,e,e,Ø,2,v,v,Il dit,une fois,Il dit rêveuse une fois : rêveuse
rêveur,e,e,œ,9,v,v,Il dit,une fois,Il dit rêveur une fois : rêveur
veilleuse,e,e,Ø,2,j,j,Il dit,une fois,Il dit veilleuse une fois : veilleuse
veilleur,e,e,œ,9,j,j,Il dit,une fois,Il dit veilleur une fois : veilleur
dévot,e,e,o,o,v,v,Il dit,une fois,Il dit dévot une fois : dévot
dévote,e,e,ͻ,O,v,v,Il dit,une fois,Il dit dévote une fois : dévote
étau,e,e,o,o,t,t,Il dit,une fois,Il dit étau une fois : étau
étoffe,e,e,ᴐ,O,t,t,Il dit,une fois,Il dit étoffe une fois : étoffe
vélo,e,e,o,o,l,l,Il dit,une fois,Il dit vélo une fois : vélo
véloce,e,e,ᴐ,O,l,l,Il dit,une fois,Il dit véloce une fois : véloce
coder,o,o,e,e,d,d,Il dit,une fois,Il dit coder une fois : coder
codex,o,o,Ɛ,E,d,d,Il dit,une fois,Il dit codex une fois : codex
lobé,o,o,e,e,b,b,Il dit,une fois,Il dit lobé une fois : lobé
lobaire,o,o,Ɛ,E,b,b,Il dit,une fois,Il dit lobaire une fois : lobaire
motet,o,o,e,e,t,t,Il dit,une fois,Il dit motet une fois : motet
motel,o,o,Ɛ,E,t,t,Il dit,une fois,Il dit motel une fois : motel
broché,o,o,e,e,ʃ,S,Il dit,une fois,Il dit broché une fois : broché
brochette,o,o,Ɛ,E,ʃ,S,Il dit,une fois,Il dit brochette une fois : brochette
causer,o,o,e,e,z,z,Il dit,une fois,Il dit causer une fois : causer
causette,o,o,Ɛ,E,z,z,Il dit,une fois,Il dit causette une fois : causette
chaussée,o,o,e,e,s,s,Il dit,une fois,Il dit chaussée une fois : chaussée
chaussette,o,o,Ɛ,E,s,s,Il dit,une fois,Il dit chaussette une fois : chaussette
gaucher,o,o,e,e,ʃ,S,Il dit,une fois,Il dit gaucher une fois : gaucher
gauchère,o,o,Ɛ,E,ʃ,S,Il dit,une fois,Il dit gauchère une fois : gauchère
moquer,o,o,e,e,k,k,Il dit,une fois,Il dit moquer une fois : moquer
moquette,o,o,Ɛ,E,k,k,Il dit,une fois,Il dit moquette une fois : moquette
noter,o,o,e,e,t,t,Il dit,une fois,Il dit noter une fois : noter
notaire,o,o,Ɛ,E,t,t,Il dit,une fois,Il dit notaire une fois : notaire
orée,o,o,e,e,r,R,Il dit,une fois,Il dit orée une fois : orée
oreille,o,o,Ɛ,E,r,R,Il dit,une fois,Il dit oreille une fois : oreille
oser,o,o,e,e,z,z,Il dit,une fois,Il dit oser une fois : oser
oseille,o,o,Ɛ,E,z,z,Il dit,une fois,Il dit oseille une fois : oseille
pocher,o,o,e,e,ʃ,S,Il dit,une fois,Il dit pocher une fois : pocher
pochette,o,o,Ɛ,E,ʃ,S,Il dit,une fois,Il dit pochette une fois : pochette
potée,o,o,e,e,t,t,Il dit,une fois,Il dit potée une fois : potée
poterne,o,o,Ɛ,E,t,t,Il dit,une fois,Il dit poterne une fois : poterne
rosé,o,o,e,e,z,z,Il dit,une fois,Il dit rosé une fois : rosé
rosette,o,o,Ɛ,E,z,z,Il dit,une fois,Il dit rosette une fois : rosette
sauter,o,o,e,e,t,t,Il dit,une fois,Il dit sauter une fois : sauter
sauterne,o,o,Ɛ,E,t,t,Il dit,une fois,Il dit sauterne une fois : sauterne
sonner,o,o,e,e,n,n,Il dit,une fois,Il dit sonner une fois : sonner
sonnette,o,o,Ɛ,E,n,n,Il dit,une fois,Il dit sonnette une fois : sonnette
violet,o,o,e,e,l,l,Il dit,une fois,Il dit violet une fois : violet
violette,o,o,Ɛ,E,l,l,Il dit,une fois,Il dit violette une fois : violette
bosseuse,o,o,Ø,2,s,s,Il dit,une fois,Il dit bosseuse une fois : bosseuse
bosseur,o,o,œ,9,s,s,Il dit,une fois,Il dit bosseur une fois : bosseur
chauffeuse,o,o,Ø,2,f,f,Il dit,une fois,Il dit chauffeuse une fois : chauffeuse
chauffeur,o,o,œ,9,f,f,Il dit,une fois,Il dit chauffeur une fois : chauffeur
chômeuse,o,o,Ø,2,m,m,Il dit,une fois,Il dit chômeuse une fois : chômeuse
chômeur,o,o,œ,9,m,m,Il dit,une fois,Il dit chômeur une fois : chômeur
donneuse,o,o,Ø,2,n,n,Il dit,une fois,Il dit donneuse une fois : donneuse
donneur,o,o,œ,9,n,n,Il dit,une fois,Il dit donneur une fois : donneur
faucheuse,o,o,Ø,2,ʃ,S,Il dit,une fois,Il dit faucheuse une fois : faucheuse
faucheur,o,o,œ,9,ʃ,S,Il dit,une fois,Il dit faucheur une fois : faucheur
fraudeuse,o,o,Ø,2,d,d,Il dit,une fois,Il dit fraudeuse une fois : fraudeuse
fraudeur,o,o,œ,9,d,d,Il dit,une fois,Il dit fraudeur une fois : fraudeur
moqueuse,o,o,Ø,2,k,k,Il dit,une fois,Il dit moqueuse une fois : moqueuse
moqueur,o,o,œ,9,k,k,Il dit,une fois,Il dit moqueur une fois : moqueur
poseuse,o,o,Ø,2,z,z,Il dit,une fois,Il dit poseuse une fois : poseuse
poseur,o,o,œ,9,z,z,Il dit,une fois,Il dit poseur une fois : poseur
voleuse,o,o,Ø,2,l,l,Il dit,une fois,Il dit voleuse une fois : voleuse
voleur,o,o,œ,9,l,l,Il dit,une fois,Il dit voleur une fois : voleur
auto,o,o,o,o,t,t,Il dit,une fois,Il dit auto une fois : auto
automne,o,o,ᴐ,O,t,t,Il dit,une fois,Il dit automne une fois : automne
coco,o,o,o,o,k,k,Il dit,une fois,Il dit coco une fois : coco
cocotte,o,o,ᴐ,O,k,k,Il dit,une fois,Il dit cocotte une fois : cocotte
mono,o,o,o,o,n,n,Il dit,une fois,Il dit mono une fois : mono
monocle,o,o,ᴐ,O,n,n,Il dit,une fois,Il dit monocle une fois : monocle
sono,o,o,o,o,n,n,Il dit,une fois,Il dit sono une fois : sono
sonore,o,o,ᴐ,O,n,n,Il dit,une fois,Il dit sonore une fois : sonore
épice,e,e,i,i,p,p,Il dit,une fois,Il dit épice une fois : épice
épate,e,e,a,a,p,p,Il dit,une fois,Il dit épate une fois : épate
épître,e,e,i,i,p,p,Il dit,une fois,Il dit épître une fois : épître
épave,e,e,a,a,p,p,Il dit,une fois,Il dit épave une fois : épave
bêtise,e,e,i,i,t,t,Il dit,une fois,Il dit bêtise une fois : bêtise
bêtasse,e,e,a,a,t,t,Il dit,une fois,Il dit bêtasse une fois : bêtasse
béquille,e,e,i,i,k,k,Il dit,une fois,Il dit béquille une fois : béquille
bécane,e,e,a,a,k,k,Il dit,une fois,Il dit bécane une fois : bécane
débit,e,e,i,i,b,b,Il dit,une fois,Il dit débit une fois : débit
déballe,e,e,a,a,b,b,Il dit,une fois,Il dit déballe une fois : déballe
dédit,e,e,i,i,d,d,Il dit,une fois,Il dit dédit une fois : dédit
dédale,e,e,a,a,d,d,Il dit,une fois,Il dit dédale une fois : dédale
émis,e,e,i,i,m,m,Il dit,une fois,Il dit émis une fois : émis
émail,e,e,a,a,m,m,Il dit,une fois,Il dit émail une fois : émail
fléchir,e,e,i,i,ʃ,S,Il dit,une fois,Il dit fléchir une fois : fléchir
fléchage,e,e,a,a,ʃ,S,Il dit,une fois,Il dit fléchage une fois : fléchage
hélice,e,e,i,i,l,l,Il dit,une fois,Il dit hélice une fois : hélice
hélas,e,e,a,a,l,l,Il dit,une fois,Il dit hélas une fois : hélas
messie,e,e,i,i,s,s,Il dit,une fois,Il dit messie une fois : messie
message,e,e,a,a,s,s,Il dit,une fois,Il dit message une fois : message
réglisse,e,e,i,i,g,g,Il dit,une fois,Il dit réglisse une fois : réglisse
réglage,e,e,a,a,g,g,Il dit,une fois,Il dit réglage une fois : réglage
sénile,e,e,i,i,n,n,Il dit,une fois,Il dit sénile une fois : sénile
sénat,e,e,a,a,n,n,Il dit,une fois,Il dit sénat une fois : sénat
série,e,e,i,i,r,R,Il dit,une fois,Il dit série une fois : série
sérail,e,e,a,a,r,R,Il dit,une fois,Il dit sérail une fois : sérail
terrine,e,e,i,i,r,R,Il dit,une fois,Il dit terrine une fois : terrine
terrasse,e,e,a,a,r,R,Il dit,une fois,Il dit terrasse une fois : terrasse
vieilli,e,e,i,i,j,j,Il dit,une fois,Il dit vieilli une fois : vieilli
vieillard,e,e,a,a,j,j,Il dit,une fois,Il dit vieillard une fois : vieillard
bobine,o,o,i,i,b,b,Il dit,une fois,Il dit bobine une fois : bobine
bobard,o,o,a,a,b,b,Il dit,une fois,Il dit bobard une fois : bobard
choriste,o,o,i,i,r,R,Il dit,une fois,Il dit choriste une fois : choriste
chorale,o,o,a,a,r,R,Il dit,une fois,Il dit chorale une fois : chorale
coquine,o,o,i,i,k,k,Il dit,une fois,Il dit coquine une fois : coquine
cocagne,o,o,a,a,k,k,Il dit,une fois,Il dit cocagne une fois : cocagne
colline,o,o,i,i,l,l,Il dit,une fois,Il dit colline une fois : colline
collage,o,o,a,a,l,l,Il dit,une fois,Il dit collage une fois : collage
Dorine,o,o,i,i,r,R,Il dit,une fois,Il dit Dorine une fois : Dorine
dorade ,o,o,a,a,r,R,Il dit,une fois,Il dit dorade  une fois : dorade 
jauni,o,o,i,i,n,n,Il dit,une fois,Il dit jauni une fois : jauni
jaunâtre,o,o,a,a,n,n,Il dit,une fois,Il dit jaunâtre une fois : jaunâtre
mollir,o,o,i,i,l,l,Il dit,une fois,Il dit mollir une fois : mollir
mollah,o,o,a,a,l,l,Il dit,une fois,Il dit mollah une fois : mollah
Monique,o,o,i,i,n,n,Il dit,une fois,Il dit Monique une fois : Monique
monarque,o,o,a,a,n,n,Il dit,une fois,Il dit monarque une fois : monarque
motif,o,o,i,i,t,t,Il dit,une fois,Il dit motif une fois : motif
motard,o,o,a,a,t,t,Il dit,une fois,Il dit motard une fois : motard
notice,o,o,i,i,t,t,Il dit,une fois,Il dit notice une fois : notice
nota ,o,o,a,a,t,t,Il dit,une fois,Il dit nota  une fois : nota 
otite,o,o,i,i,t,t,Il dit,une fois,Il dit otite une fois : otite
otage,o,o,a,a,t,t,Il dit,une fois,Il dit otage une fois : otage
postiche,o,o,i,i,s,s,Il dit,une fois,Il dit postiche une fois : postiche
postal,o,o,a,a,s,s,Il dit,une fois,Il dit postal une fois : postal
potiche,o,o,i,i,t,t,Il dit,une fois,Il dit potiche une fois : potiche
potache,o,o,a,a,t,t,Il dit,une fois,Il dit potache une fois : potache
Rosine,o,o,i,i,z,z,Il dit,une fois,Il dit Rosine une fois : Rosine
rosace,o,o,a,a,z,z,Il dit,une fois,Il dit rosace une fois : rosace
