nbsylls;phrase;Types de phrases;Phrase porteuse(CN)   ;(particules) signes de ponctuation www .fr dic. co m 版 权 所 有;Traduction;Caractère(CN);Traduction du caractère;Phrase porteuse (pinyin);Phrase porteuse (SAMPA-C);Syllabe sans ton (pinyin) ;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
6;这个字读妈吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;妈;maman;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;ma;T1;mā;"ma_""_1"
6;这个字读麻吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;麻;chanvre;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;ma;T2;má;"ma_""_2"
6;这个字读马吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;马;cheval ;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;ma;T3;mǎ;"ma_""_3"
6;这个字读骂吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;骂;insulter;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;ma;T4;mà;"ma_""_4"
6;这个字念妈吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;妈;maman;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;ma;T1;mā;"ma_""_1"
6;这个字念麻吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;麻;chanvre;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;ma;T2;má;"ma_""_2"
6;这个字念马吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;马;cheval ;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;ma;T3;mǎ;"ma_""_3"
6;这个字念骂吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;骂;insulter;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;ma;T4;mà;"ma_""_4"
6;这个字读沙吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;沙;sable;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;sha;T1;shā;"s`a_""_1 "
6;这个字读啥吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;啥;quoi;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;sha;T2;shá;"s`a_""_2"
6;这个字读傻吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;傻;stupide;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;sha;T3;shǎ;"s`a_""_3"
6;这个字读霎吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字读;吗?;Est-ce que caractère se prononce___?;霎;moment bref;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2mA ;sha;T4;shà;"s`a_""_4"
6;这个字念沙吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;沙;sable;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;sha;T1;shā;"s`a_""_1 "
6;这个字念啥吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;啥;quoi;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;sha;T2;shá;"s`a_""_2"
6;这个字念傻吗?;Phrase interrogative avec  particule interrogative finale(ma);这个字念;吗?;Est-ce que caractère se prononce___?;傻;stupide;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4mA ;sha;T3;shǎ;"s`a_""_3"
