nbsylls;Caractère(CN);Traduction du caractère;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
1;妈;maman;T1;mā;"ma_""_1"
1;麻;chanvre;T2;má;"ma_""_2"
1;马;cheval ;T3;mǎ;"ma_""_3"
1;骂;insulter;T4;mà;"ma_""_4"
1;沙;sable;T1;shā;"s`a_""_1 "
1;啥;quoi;T2;shá;"s`a_""_2"
1;傻;stupide;T3;shǎ;"s`a_""_3"
1;霎;moment bref;T4;shà;"s`a_""_4"
1;逼;forcer;T1;bī;pi_1
1;鼻;nez;T2;bí;pi_2
1;比;comparer;T3;bǐ;pi_3
1;必;sûrement;T4;bì;pi_4
1;渣;résidu;T1;zhā;"ts`a_""_1 "
1;闸;vanne;T2;zhá;"ts`a_""_2"
1;眨;clignoter;T3;zhǎ;"ts`a_""_3"
1;榨;presser;T4;zhà;"ts`a_""_4"
1;汁;jus;T1;zhī;ts`i_1
1;直;droit;T2;zhí;ts`i_2
1;纸;papier;T3;zhǐ;ts`i_3
1;置;placer;T4;zhì;ts`i_4
