init;fin;sequence;SAMPA;Mot ;CV/VC;C;V;8
حكى;مرتين;حكى تَاب مرتين;ta:b;تَاب;ta:;t;a:;8
حكى;مرتين;حكى تَل مرتين;tal;تَل;ta;t;a;8
حكى;مرتين;حكى تُوب مرتين;tu:b;تُوب;tu:;t;u:;8
حكى;مرتين;حكى تُف مرتين;tuf;تُف;tu;t;u;8
حكى;مرتين;حكى تِين مرتين;ti:n;تِين;ti:;t;i:;8
حكى;مرتين;حكى تِف مرتين;tif;تِف;ti;t;i;8
حكى;مرتين;حكى توم مرتين;to:m;توم;to:;t;o:;8
حكى;مرتين;حكى تيس مرتين;te:s;تيس;te:;t;e:;8
حكى;مرتين;حكى كَاز مرتين;ka:z;كَاز;ka:;k;a:;8
حكى;مرتين;حكى كَز مرتين;kaz;كَز;ka;k;a;8
حكى;مرتين;حكى كُوع مرتين;ku:?';كُوع;ku:;k;u:;8
حكى;مرتين;حكى كُم مرتين;kum;كُم;ku;k;u;8
حكى;مرتين;حكى كِيس مرتين;ki:s;كِيس;ki:;k;i:;8
حكى;مرتين;حكى كِت مرتين;kit;كِت;ki;k;i;8
حكى;مرتين;حكى كول مرتين;ko:l;كول;ko:;k;o:;8
حكى;مرتين;حكى كيف مرتين;ke:f;كيف;ke:;k;e:;8
حكى;مرتين;حكى قَاف مرتين;qa:f;قَاف;qa:;q;a:;8
حكى;مرتين;حكى قَد مرتين;qad;قَد;qa;q;a;8
حكى;مرتين;حكى قُوم مرتين;qu:m;قُوم;qu:;q;u:;8
حكى;مرتين;حكى قُم مرتين;qum;قُم;qu;q;u;8
حكى;مرتين;حكى قِيم مرتين;qi:m;قِيم;qi:;q;i:;8
حكى;مرتين;حكى قِف مرتين;qif;قِف;qi;q;i;8
حكى;مرتين;حكى قوس مرتين;qo:s;قوس;qo:;q;o:;8
حكى;مرتين;حكى قيح مرتين;qe:X\;قيح;qe:;q;e:;8
حكى;مرتين;حكى آل مرتين;?a:l;آل;?a:;?;a:;8
حكى;مرتين;حكى أَخ مرتين;?ax;أَخ;?a;?;a;8
حكى;مرتين;حكى اُوم مرتين;?u:m;اُوم;?u:;?;u:;8
حكى;مرتين;حكى أُم مرتين;?um;أُم;?u;?;u;8
حكى;مرتين;حكى إِيم مرتين;?i:m;إِيم;?i:;?;i:;8
حكى;مرتين;حكى إِم مرتين;?im;إِم;?i;?;i;8
حكى;مرتين;حكى أول مرتين;?o:l;أول;?o:;?;o:;8
حكى;مرتين;حكى أيل مرتين;?e:l;أيل;?e:;?;e:;8
حكى;مرتين;حكى طَال مرتين;t'a:l;طَال;t'a:;t';a:;8
حكى;مرتين;حكى طَب مرتين;t'ab;طَب;t'a;t';a;8
حكى;مرتين;حكى طُوب مرتين;t'u:b;طُوب;t'u:;t';u:;8
حكى;مرتين;حكى طُخ مرتين;t'ux;طُخ;t'u;t';u;8
حكى;مرتين;حكى طِير مرتين;t'i:r;طِير;t'i:;t';i:;8
حكى;مرتين;حكى طِب مرتين;t'ib;طِب;t'i;t';i;8
حكى;مرتين;حكى طوق مرتين;t'o:g;طوق;t'o:;t';o:;8
حكى;مرتين;حكى طير مرتين;t'e:r;طير;t'e:;t';e:;8
حكى;مرتين;حكى بَات مرتين;ba:t;بَات;a:t;t;a:;8
حكى;مرتين;حكى فَت مرتين;fat;فَت;at;t;a;8
حكى;مرتين;حكى فُوت مرتين;fu:t;فُوت;u:t;t;u:;8
حكى;مرتين;حكى كُت مرتين;kut;كُت;ut;t;u;8
حكى;مرتين;حكى جِيت  مرتين;Zi:t;جِيت ;i:t;t;i:;8
حكى;مرتين;حكى بِت مرتين;bit;بِت;it;t;i;8
حكى;مرتين;حكى بوت مرتين;bo:t;بوت;o:t;t;o:;8
حكى;مرتين;حكى بيت مرتين;be:t;بيت;e:t;t;e:;8
حكى;مرتين;حكى جَاك مرتين;Za:k;جَاك;a:k;k;a:;8
حكى;مرتين;حكى فَك مرتين;fak;فَك;ak;k;a;8
حكى;مرتين;حكى جُوك مرتين;Zu:k;جُوك;u:k;k;u:;8
حكى;مرتين;حكى حُك مرتين;X\uk;حُك;uk;k;u;8
حكى;مرتين;حكى فِيك مرتين;fi:k;فِيك;i:k;k;i:;8
حكى;مرتين;حكى فِك مرتين;fik;فِك;ik;k;i;8
حكى;مرتين;حكى شوك مرتين;So:k;شوك;o:k;k;o:;8
حكى;مرتين;حكى بيك مرتين;be:k;بيك;e:k;k;e:;8
حكى;مرتين;حكى عَاق مرتين;?'a:q;عَاق;a:q;q;a:;8
حكى;مرتين;حكى عَق مرتين;?'aq;عَق;aq;q;a;8
حكى;مرتين;حكى بُوق مرتين;bu:q;بُوق;u:q;q;u:;8
حكى;مرتين;حكى طُق مرتين;t'uq;طُق;uq;q;u;8
حكى;مرتين;حكى سِيق مرتين;si:q;سِيق;i:q;q;i:;8
حكى;مرتين;حكى ثِق مرتين;Tiq;ثِق;iq;q;i;8
حكى;مرتين;حكى ذوق مرتين;Do:q;ذوق;o:q;q;o:;8
حكى;مرتين;حكى ضيق مرتين;d'e:q;ضيق;e:q;q;e:;8
حكى;مرتين;حكى بَاء مرتين;ba:?;بَاء;a:?;?;a:;8
حكى;مرتين;حكى لَء مرتين;la?;لَء;a?;?;a;8
حكى;مرتين;حكى دُوء مرتين;du:?;دُوء;u:?;?;u:;8
حكى;مرتين;حكى نُء مرتين;nu?;نُء;u?;?;u;8
حكى;مرتين;حكى دِيء مرتين;di:?;دِيء;i:?;?;i:;8
حكى;مرتين;حكى نِء مرتين;ni?;نِء;i?;?;i;8
حكى;مرتين;حكى فوء مرتين;fo:?;فوء;o:?;?;o:;8
حكى;مرتين;حكى شيء مرتين;Se:?;شيء;e:?;?;e:;8
حكى;مرتين;حكى جَاط مرتين;Za:t';جَاط;a:t';t';a:;8
حكى;مرتين;حكى حَط مرتين;X\at';حَط;at';t';a;8
حكى;مرتين;حكى لُوط مرتين;lu:t';لُوط;u:t';t';u:;8
حكى;مرتين;حكى حُط مرتين;X\ut';حُط;ut';t';u;8
حكى;مرتين;حكى شِيط مرتين;Si:t';شِيط;i:t';t';i:;8
حكى;مرتين;حكى غِط مرتين;Git';غِط;it';t';i;8
حكى;مرتين;حكى غوط مرتين;Go:t';غوط;o:t';t';o:;8
حكى;مرتين;حكى خيط مرتين;xe:t';خيط;e:t';t';e:;8
