init;fin;sequence;SAMPA;Mot ;CV/VC;C;V
حكى;مرتين;حكى تَاب مرتين;ta:b;تَاب;ta:;t;a:
حكى;مرتين;حكى تَل مرتين;tal;تَل;ta;t;a
حكى;مرتين;حكى تُوب مرتين;tu:b;تُوب;tu:;t;u:
حكى;مرتين;حكى تُف مرتين;tuf;تُف;tu;t;u
حكى;مرتين;حكى تِين مرتين;ti:n;تِين;ti:;t;i:
حكى;مرتين;حكى تِف مرتين;tif;تِف;ti;t;i
حكى;مرتين;حكى توم مرتين;to:m;توم;to:;t;o:
حكى;مرتين;حكى تيس مرتين;te:s;تيس;te:;t;e:
حكى;مرتين;حكى كَاز مرتين;ka:z;كَاز;ka:;k;a:
حكى;مرتين;حكى كَز مرتين;kaz;كَز;ka;k;a
حكى;مرتين;حكى كُوع مرتين;ku:?';كُوع;ku:;k;u:
حكى;مرتين;حكى كُم مرتين;kum;كُم;ku;k;u
حكى;مرتين;حكى كِيس مرتين;ki:s;كِيس;ki:;k;i:
حكى;مرتين;حكى كِت مرتين;kit;كِت;ki;k;i
حكى;مرتين;حكى كول مرتين;ko:l;كول;ko:;k;o:
حكى;مرتين;حكى كيف مرتين;ke:f;كيف;ke:;k;e:
حكى;مرتين;حكى قَاف مرتين;qa:f;قَاف;qa:;q;a:
حكى;مرتين;حكى قَد مرتين;qad;قَد;qa;q;a
حكى;مرتين;حكى قُوم مرتين;qu:m;قُوم;qu:;q;u:
حكى;مرتين;حكى قُم مرتين;qum;قُم;qu;q;u
حكى;مرتين;حكى قِيم مرتين;qi:m;قِيم;qi:;q;i:
حكى;مرتين;حكى قِف مرتين;qif;قِف;qi;q;i
حكى;مرتين;حكى قوس مرتين;qo:s;قوس;qo:;q;o:
حكى;مرتين;حكى قيح مرتين;qe:X\;قيح;qe:;q;e:
حكى;مرتين;حكى آل مرتين;?a:l;آل;?a:;?;a:
حكى;مرتين;حكى أَخ مرتين;?ax;أَخ;?a;?;a
حكى;مرتين;حكى اُوم مرتين;?u:m;اُوم;?u:;?;u:
حكى;مرتين;حكى أُم مرتين;?um;أُم;?u;?;u
حكى;مرتين;حكى إِيم مرتين;?i:m;إِيم;?i:;?;i:
حكى;مرتين;حكى إِم مرتين;?im;إِم;?i;?;i
حكى;مرتين;حكى أول مرتين;?o:l;أول;?o:;?;o:
حكى;مرتين;حكى أيل مرتين;?e:l;أيل;?e:;?;e:
حكى;مرتين;حكى طَال مرتين;t'a:l;طَال;t'a:;t';a:
حكى;مرتين;حكى طَب مرتين;t'ab;طَب;t'a;t';a
حكى;مرتين;حكى طُوب مرتين;t'u:b;طُوب;t'u:;t';u:
حكى;مرتين;حكى طُخ مرتين;t'ux;طُخ;t'u;t';u
حكى;مرتين;حكى طِير مرتين;t'i:r;طِير;t'i:;t';i:
حكى;مرتين;حكى طِب مرتين;t'ib;طِب;t'i;t';i
حكى;مرتين;حكى طوق مرتين;t'o:g;طوق;t'o:;t';o:
حكى;مرتين;حكى طير مرتين;t'e:r;طير;t'e:;t';e:
حكى;مرتين;حكى بَات مرتين;ba:t;بَات;a:t;t;a:
حكى;مرتين;حكى فَت مرتين;fat;فَت;at;t;a
حكى;مرتين;حكى فُوت مرتين;fu:t;فُوت;u:t;t;u:
حكى;مرتين;حكى كُت مرتين;kut;كُت;ut;t;u
حكى;مرتين;حكى جِيت  مرتين;Zi:t;جِيت ;i:t;t;i:
حكى;مرتين;حكى بِت مرتين;bit;بِت;it;t;i
حكى;مرتين;حكى بوت مرتين;bo:t;بوت;o:t;t;o:
حكى;مرتين;حكى بيت مرتين;be:t;بيت;e:t;t;e:
حكى;مرتين;حكى جَاك مرتين;Za:k;جَاك;a:k;k;a:
حكى;مرتين;حكى فَك مرتين;fak;فَك;ak;k;a
حكى;مرتين;حكى جُوك مرتين;Zu:k;جُوك;u:k;k;u:
حكى;مرتين;حكى حُك مرتين;X\uk;حُك;uk;k;u
حكى;مرتين;حكى فِيك مرتين;fi:k;فِيك;i:k;k;i:
حكى;مرتين;حكى فِك مرتين;fik;فِك;ik;k;i
حكى;مرتين;حكى شوك مرتين;So:k;شوك;o:k;k;o:
حكى;مرتين;حكى بيك مرتين;be:k;بيك;e:k;k;e:
حكى;مرتين;حكى عَاق مرتين;?'a:q;عَاق;a:q;q;a:
حكى;مرتين;حكى عَق مرتين;?'aq;عَق;aq;q;a
حكى;مرتين;حكى بُوق مرتين;bu:q;بُوق;u:q;q;u:
حكى;مرتين;حكى طُق مرتين;t'uq;طُق;uq;q;u
حكى;مرتين;حكى سِيق مرتين;si:q;سِيق;i:q;q;i:
حكى;مرتين;حكى ثِق مرتين;Tiq;ثِق;iq;q;i
حكى;مرتين;حكى ذوق مرتين;Do:q;ذوق;o:q;q;o:
حكى;مرتين;حكى ضيق مرتين;d'e:q;ضيق;e:q;q;e:
حكى;مرتين;حكى بَاء مرتين;ba:?;بَاء;a:?;?;a:
حكى;مرتين;حكى لَء مرتين;la?;لَء;a?;?;a
حكى;مرتين;حكى دُوء مرتين;du:?;دُوء;u:?;?;u:
حكى;مرتين;حكى نُء مرتين;nu?;نُء;u?;?;u
حكى;مرتين;حكى دِيء مرتين;di:?;دِيء;i:?;?;i:
حكى;مرتين;حكى نِء مرتين;ni?;نِء;i?;?;i
