OrdreOrig;Stimulus;Sequence;Liste tournante 5;Liste tournante 4
1;Adrien_bi-4bands-fc-128-NoiseCarrier.wav;Adrien_bi;1;1
2;Adrien_bi-8bands-fc-128-NoiseCarrier.wav;Adrien_bi;2;2
3;Adrien_bi-12bands-fc-128-NoiseCarrier.wav;Adrien_bi;3;3
4;Adrien_bi-16bands-fc-128-NoiseCarrier.wav;Adrien_bi;4;4
5;Adrien_bi-22bands-fc-128-NoiseCarrier.wav;Adrien_bi;5;2
6;Adrien_be1-4bands-fc-128-NoiseCarrier.wav;Adrien_be1;2;3
7;Adrien_be1-8bands-fc-128-NoiseCarrier.wav;Adrien_be1;3;4
8;Adrien_be1-12bands-fc-128-NoiseCarrier.wav;Adrien_be1;4;1
9;Adrien_be1-16bands-fc-128-NoiseCarrier.wav;Adrien_be1;5;3
10;Adrien_be1-22bands-fc-128-NoiseCarrier.wav;Adrien_be1;1;4
11;Adrien_ba-4bands-fc-128-NoiseCarrier.wav;Adrien_ba;3;1
12;Adrien_ba-8bands-fc-128-NoiseCarrier.wav;Adrien_ba;4;2
13;Adrien_ba-12bands-fc-128-NoiseCarrier.wav;Adrien_ba;5;4
14;Adrien_ba-16bands-fc-128-NoiseCarrier.wav;Adrien_ba;1;1
15;Adrien_ba-22bands-fc-128-NoiseCarrier.wav;Adrien_ba;2;2
16;Adrien_by-4bands-fc-128-NoiseCarrier.wav;Adrien_by;4;3
17;Adrien_by-8bands-fc-128-NoiseCarrier.wav;Adrien_by;5;1
18;Adrien_by-12bands-fc-128-NoiseCarrier.wav;Adrien_by;1;2
19;Adrien_by-16bands-fc-128-NoiseCarrier.wav;Adrien_by;2;3
20;Adrien_by-22bands-fc-128-NoiseCarrier.wav;Adrien_by;3;4
21;Adrien_b2-4bands-fc-128-NoiseCarrier.wav;Adrien_b2;5;2
22;Adrien_b2-8bands-fc-128-NoiseCarrier.wav;Adrien_b2;1;3
23;Adrien_b2-12bands-fc-128-NoiseCarrier.wav;Adrien_b2;2;4
24;Adrien_b2-16bands-fc-128-NoiseCarrier.wav;Adrien_b2;3;1
25;Adrien_b2-22bands-fc-128-NoiseCarrier.wav;Adrien_b2;4;3
26;Adrien_bu-4bands-fc-128-NoiseCarrier.wav;Adrien_bu;1;4
27;Adrien_bu-8bands-fc-128-NoiseCarrier.wav;Adrien_bu;2;1
28;Adrien_bu-12bands-fc-128-NoiseCarrier.wav;Adrien_bu;3;2
29;Adrien_bu-16bands-fc-128-NoiseCarrier.wav;Adrien_bu;4;4
30;Adrien_bu-22bands-fc-128-NoiseCarrier.wav;Adrien_bu;5;1
31;Adrien_bo1-4bands-fc-128-NoiseCarrier.wav;Adrien_bo1;2;2
32;Adrien_bo1-8bands-fc-128-NoiseCarrier.wav;Adrien_bo1;3;3
